sentiment,review
4,"I absolutely love my bank. There's a reason this bank's customer base is so strong--their customer service actually acts like people and not robots. I love that anytime my card is swiped, I'm instantly notified. And the built in budgeting app is something that really makes life easier. The biggest setback is not being able to deposit cash (you have to get a money order), and if you have another, non-simple bank account, transferring money between accounts can take a few days, which frankly isn't acceptable with most ACH taking a business day or less. Overall, it's a great bank, and I would recommend it to anyone."
1,"International transaction fees for items bought domestically. Can't keep the account if you are overseas. Web interface sucks, unimportant data takes half the screen."
5,This bank bends over backwards for its customers. I've never been on hold for longer than 3 minutes. I'm never charged fees. My transactions are posted the minute I swipe my card. Their budgeting software has changed the way I manage money. Simple is the best bank I've ever had.
5,I have used this bank for going on two years and it’s the best bank ever. The app is amazing. Shared accounts are cool and just no fees it can’t get any better than this. 
5,"This card makes it so easy to save.... for rainy days, for trips, for ANYTHING. You dream it, Simple will help you save it. "
5,"My experience with the app, the banking services themselves, and the customer service team have been stellar. And I mean that in the sense that these people are STARS. The app has been awesome from the first version I used and keeps getting better. Every communication I've ever had with customer support has been like a conversation with a friend (or at least a friend of a friend). Sure, ultimately it's modern technology injected into a no-fee checking account, but **** are they getting it right."
5,"I applied for Simple after the Google wallet card was discontinued for the $20-on-signup promotion with the intention of taking the money and leaving the account. After a year and a half, I'm still using it. The well-designed web and app interfaces are a pleasure to use and support has always been very responsive to me. Their budgeting and categorization features are top-notch. 10/10."
5,I used to think I was just terrible at managing money. Fast forward a few years using Simple and I've managed to save money and purchase my first home. Now the money that used to go to overdrafts fees goes towards remodeling my home. Can't recommend them enough!
5,"As the name implies, this bank is so simple, straightforward, easy to use. It's helped me save and budget my money with their unique ""Safe To Spend"" and ""Goals"" features. Easy to deposit money. Customer service is quick, efficient and super helpful. The app is perfect and so easy to use. I love everything about Simple!"
1,Closed my account for no reason! Now customer service will not speak to me!!! Will I get my money back ?! Other sites say people never received their money!!!! 
